method,header_name,header_value,header_name_length,header_value_length,num_letters_in_value,num_numbers_in_value,num_special_chars_in_value,value_is_uuid,value_is_base64,value_is_jwt,consistency_across_visits,stored_in_cookies_or_local,host_domains,destination_domains,is_tracking,confidence,why
REQUEST,x-spot-id,sp_7mUJW9YQ,9,11,8,2,1,False,False,False,True,True,{'jalopnik.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" shows consistency across visits and is stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (spot.im) is different from the host domain (jalopnik.com), suggesting it could be used for cross-site tracking. While the value does not appear to be encoded or a UUID, its consistent use and storage across sessions strongly suggest it is being used for tracking purposes."
RESPONSE,6si-ipv6,2607:b400:c:a180:72b5:e8ff:fed0:aeae,8,36,14,15,7,False,False,False,True,True,"{'zendesk.com', 'dell.com'}",{'6sc.co'},YES,85,"The header value is consistent across visits and stored in browser storage, which are strong indicators of tracking. The destination domain (6sc.co) is different from the host domains (zendesk.com, dell.com), suggesting it could be a third-party tracker. Although the value does not appear to be encoded or follow UUID patterns, its length and composition, combined with other factors, support the likelihood that this header is used for tracking."
REQUEST,x-spot-id,sp_CluSiKko,9,11,10,0,1,False,False,False,True,True,{'thedailybeast.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (spot.im) is different from the host domain (thedailybeast.com), suggesting it could be used for cross-site tracking. While the value does not appear to be encoded or a UUID, its consistency and storage suggest it may be used for tracking purposes."
REQUEST,x-spot-id,sp_f7EV0YIq,9,11,8,2,1,False,False,False,True,True,{'kooora.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" shows consistency across visits and is stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (spot.im) is different from the host domain (kooora.com), suggesting potential cross-origin tracking. While the value does not appear to be encoded or a UUID, its consistent use and storage suggest it could be used for tracking purposes."
RESPONSE,x-geoip2-city-name,Christiansburg,18,14,14,0,0,False,True,False,True,True,{'flashscore.com'},{'flashscore.ninja'},NO,75,"The header ""x-geoip2-city-name"" with the value ""Christiansburg"" does not show strong indicators of tracking. The value is a simple string without any encoding, and it is consistent across visits but this alone is not conclusive for tracking. The fact that both host and destination domains are under the same entity (FlashScore) reduces the likelihood of cross-site tracking. However, the header being stored in browser storage could potentially be used for session management or other non-tracking purposes, which makes the classification less certain."
RESPONSE,x-advertisable-eid,YNJJXL3HSZGX5HCII2ACSH,18,22,19,3,0,False,True,False,True,True,{'jcpenney.com'},{'adroll.com'},YES,85,"The header ""x-advertisable-eid"" has a value that is Base64 encoded, which is often used for tracking purposes. Additionally, the value is consistent across visits and stored in browser storage, indicating persistent tracking capabilities. The destination domain (adroll.com) is known for advertising and tracking activities, further supporting the likelihood of this header being used for tracking."
RESPONSE,x-pixel-eid,CIX4XXOAAZFJBAPNGYRAY7,11,22,20,2,0,False,True,False,True,True,{'jcpenney.com'},{'adroll.com'},YES,85,"The header ""x-pixel-eid"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: YES, as it points to 'adroll.com', which is known for advertising and tracking.
2. Length and composition: NO, the value length (22) is not exceptionally long, and the mix of letters and numbers does not indicate a complex structure.
3. Encoded values: YES, the header value is Base64 encoded, which can be used to store more complex data.
4. Consistency across visits: YES, the fact that it remains consistent suggests it could be used for tracking user behavior over time.
5. Stored in cookies or local storage: YES, indicating persistent storage, which supports long-term tracking.

Given these factors, especially the third-party destination and encoded value, there is a high likelihood this header is used for tracking purposes."
REQUEST,MOE-APPKEY,SPJUIVHAUP6GA3T6R89P77XZ,10,24,17,7,0,False,True,False,True,True,"{'sprint.com', 't-mobile.com'}",{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domains (sprint.com, t-mobile.com), and MoEngage is known for using such headers for user identification and tracking.
2. Length and composition: The value length of 24 characters with a mix of letters and numbers suggests it could be an encoded identifier, which aligns with tracking practices.
3. Encoded values: The header value is Base64-encoded, which is often used to obfuscate the data being transmitted for tracking purposes.
4. Consistency across visits: The fact that the value is consistent across sessions and visits indicates that it could be used to track user behavior over time.
5. Stored in cookies or local storage: The header's value being stored in browser storage supports its use as a persistent identifier.

While the header name does not directly indicate tracking, the combination of these heuristics strongly suggests that this is a tracking header."
REQUEST,MOE-APPKEY,OE7H4UHSQ08XM0F27PQ46A3N,10,24,14,10,0,False,True,False,True,True,{'olx.co.id'},{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domain (olx.co.id), and MoEngage is known for using such headers for user identification and tracking.
2. Length and composition: The value length of 24 characters, combined with a mix of letters and numbers, suggests it could be an encoded identifier.
3. Encoded values: The header value is Base64-encoded, which is often used to obfuscate identifiers.
4. Consistency across visits: The fact that the value is consistent across sessions indicates persistent tracking capabilities.
5. Stored in cookies or local storage: The value being stored suggests it can be accessed and used for tracking purposes.

While the header name ""MOE-APPKEY"" does not directly indicate tracking, the combination of these heuristics strongly suggests this header is used for tracking user behavior across different domains."
REQUEST,x-spot-id,sp_lndcYtHZ,9,11,10,0,1,False,False,False,True,True,{'goal.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" is consistent across sessions and visits, stored in browser storage, and has a third-party destination domain (spot.im), which is known for tracking. Although the value does not appear to be encoded or have a UUID format, its consistency and storage suggest it could be used for tracking purposes."
REQUEST,x-spot-id,sp_Sx8YukwE,9,11,9,1,1,False,False,False,True,True,{'nypost.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" shows several characteristics that suggest it could be used for tracking. It has a consistent value across sessions and is stored in browser storage, which are common traits of tracking headers. Additionally, the destination domain (spot.im) is different from the host domain (nypost.com), indicating potential cross-domain tracking capabilities. While the value does not appear to be encoded or follow a UUID pattern, its consistency and storage suggest it may be used for identifying users across multiple interactions."
REQUEST,MOE-APPKEY,34YG51ONK78SSJ5W63AC9BY8,10,24,13,11,0,False,True,False,True,True,{'manoramaonline.com'},{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domain (manoramaonline.com), and moengage.com is known for tracking purposes.
2. Length and composition: The value length of 24 characters, combined with only letters in the value, suggests it might be a unique identifier but not as strong as numbers or special characters.
3. Encoded values: The header value is Base64 encoded, which could indicate an attempt to obfuscate its purpose.
4. Consistency across visits: The fact that the value is consistent across sessions and visits implies long-term tracking capabilities.
5. Stored in cookies or local storage: The value being stored suggests it can be used for persistent tracking.

While the header name ""MOE-APPKEY"" does not directly indicate tracking, the combination of these factors strongly suggests this header is likely used for tracking purposes."
RESPONSE,pin-unauth,dWlkPU1UQmlOakUzTVdFdE4ySTJPUzAwTWpkbExUZzVNelF0Wm1Rd01qQTJNell5TXpNMA,10,70,63,7,0,False,True,False,True,True,{'watchseries.do'},{'pinterest.com'},YES,85,"The header ""pin-unauth"" has a value that is Base64 encoded, which could be used to store and transmit user-specific information. The consistency across visits and storage in the browser further support this. Additionally, the destination domain (pinterest.com) is known for tracking activities, making it highly likely that this header is being used for tracking purposes."
REQUEST,x-mp-key,us1-99f689156b88a84fbe3383020acfea25,8,36,13,22,1,False,False,False,True,True,{'cnbc.com'},{'mparticle.com'},YES,85,"The header ""x-mp-key"" is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (mparticle.com) is known for tracking purposes, further supporting this classification. While the value length and composition do not strongly suggest encoding or a specific pattern, the combination of these factors leads to a high confidence level that this header is used for tracking."
REQUEST,x-mp-key,5508ba7c7050a64b8d6b10d1d2123901,8,32,9,23,0,True,True,False,True,True,{'reverb.com'},{'mparticle.com'},YES,85,"The header ""x-mp-key"" is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the value being a UUID and Base64 encoded suggests it's used for unique identification purposes rather than functional ones. The third-party destination domain (mparticle.com) further supports this conclusion as such domains often engage in user tracking activities."
REQUEST,MOE-APPKEY,63VYOEWYUSF2T2QC5QPCI9QM,10,24,18,6,0,False,True,False,True,True,"{'pch.com', 'topix.com'}",{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domains (pch.com, topix.com), and moengage.com is known for tracking purposes.
2. Length and composition: The value length of 24 characters with a mix of letters and numbers suggests it could be an identifier but does not strongly indicate tracking on its own.
3. Encoded values: The header value being Base64 encoded increases the likelihood that this is used to obfuscate user identifiers or track sessions across different domains.
4. Consistency across visits: The fact that the value is consistent across sessions and visits suggests it could be used for persistent tracking of users.
5. Stored in cookies or local storage: The header being stored indicates that it can be accessed by scripts, which increases its potential to be used for tracking.

While not all heuristics strongly indicate tracking individually, their combination points towards a high likelihood of this header being used for tracking purposes."
REQUEST,MOE-APPKEY,4514OD0Q31D8DJFBD5SX06TR,10,24,13,11,0,False,True,False,True,True,{'indianexpress.com'},{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domain (indianexpress.com), and MoEngage is known for using such headers for user identification and tracking.
2. Length and composition: The value length of 24 characters, combined with a mix of letters and numbers, suggests it could be an encoded identifier rather than a simple session token or metadata.
3. Encoded values: The header value being Base64-encoded indicates that the data is likely to be more complex and less readable, which is common in tracking mechanisms.
4. Consistency across visits: The fact that the value remains consistent across sessions suggests it could be used for persistent user identification.
5. Stored in cookies or local storage: The value being stored in browser storage supports the idea of long-term tracking.

While not all heuristics are strongly indicative, the combination of a third-party destination domain and encoded values with consistency across visits provides strong evidence that this header is likely used for tracking."
REQUEST,x-mp-key,13c1572c444c0043bd68e09b734a5374,8,32,8,24,0,True,True,False,True,True,{'eonline.com'},{'mparticle.com'},YES,85,"The header ""x-mp-key"" is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the value is both a UUID and Base64 encoded, suggesting it's used for unique identification or session linking. The third-party destination domain (mparticle.com) further supports this classification as such domains often engage in user tracking activities."
RESPONSE,x-bunnycdn-client-ip,2607:b400:c:a180:72b5:e8ff:fed0:aeae,20,36,14,15,7,False,False,False,True,True,{'eset.com'},{'optimonk.com'},YES,85,"The header ""x-bunnycdn-client-ip"" has a value that is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (optimonk.com) is known for tracking purposes, further supporting the classification as a tracking header."
